# Lyon & Healy Style 25 (Concert Grand stringing) - 47 strings, bass(C1)->treble(G7)
# diameter: gut=Bow Brand PUBLISHED(exact); wire bass=YOUR caliper; nylon=taper estimate
#   but your measured bass (~1600mm @ C1) confirms the scale. natural/sharp = disc semitone steps.
# length: L_flat MEASURED from your tape (grommet=0, read at bridge/flat pin); monotonic-smoothed.
#   natural/sharp = L_flat x 2^(-1/12), 2^(-2/12) (one/two disc semitones).
# spacing: YOUR caliper (note the wider MIDDLE register, ~16mm, vs ~13mm treble). color: C=red F=black
sn,note,material,color,L_flat_mm,L_natural_mm,L_sharp_mm,diameter_mm,spacing_to_next_mm,diam_source,length_source
1,C1,wire_wound_bass,red,1570,1482,1399,2.83,14.79,caliper_reread,MEASURED_tape(flat-pin)
2,D1,wire_wound_bass,natural,1539,1453,1371,2.83,14.2,caliper_reread,MEASURED_tape(flat-pin)
3,E1,wire_wound_bass,natural,1505,1421,1341,2.84,14.65,caliper_reread,MEASURED_tape(flat-pin)
4,F1,wire_wound_bass,black,1505,1421,1341,2.37,15.11,caliper_reread,MEASURED_tape(flat-pin)
5,G1,wire_wound_bass,natural,1498,1414,1335,2.38,14.47,caliper_reread,MEASURED_tape(flat-pin)
6,A1,wire_wound_bass,natural,1484,1401,1322,2.38,15.18,caliper_reread,MEASURED_tape(flat-pin)
7,B1,wire_wound_bass,natural,1432,1352,1276,2.3,15.89,caliper_reread,MEASURED_tape(flat-pin)
8,C2,wire_wound_bass,red,1379,1302,1229,2.39,14.86,caliper_reread,MEASURED_tape(flat-pin)
9,D2,wire_wound_bass,natural,1370,1293,1221,2.39,14.86,caliper_reread,MEASURED_tape(flat-pin)
10,E2,wire_wound_bass,natural,1338,1263,1192,2.39,14.86,caliper_reread,MEASURED_tape(flat-pin)
11,F2,wire_wound_bass,black,1287,1215,1147,2.66,14.86,caliper_reread,MEASURED_tape(flat-pin)
12,G2,wire_wound_bass,natural,1255,1185,1118,2.31,14.86,caliper_reread,MEASURED_tape(flat-pin)
13,A2,gut,natural,1222,1153,1089,2.29,14.86,published_gut,MEASURED_tape(flat-pin)
14,B2,gut,natural,1163,1098,1036,2.18,14.86,published_gut,MEASURED_tape(flat-pin)
15,C3,gut,red,1136,1072,1012,2.08,14.86,published_gut,MEASURED_tape(flat-pin)
16,D3,gut,natural,1114,1051,992,1.96,14.54,published_gut,MEASURED_tape(flat-pin)
17,E3,gut,natural,1088,1027,969,1.85,14.22,published_gut,MEASURED_tape(flat-pin)
18,F3,gut,black,1042,984,928,1.8,13.95,published_gut,MEASURED_tape(flat-pin)
19,G3,gut,natural,973,918,867,1.7,14.15,published_gut,MEASURED_tape(flat-pin)
20,A3,gut,natural,838,791,747,1.6,14.35,published_gut,MEASURED_tape(flat-pin)
21,B3,gut,natural,723,682,644,1.55,16.03,published_gut,MEASURED_tape(flat-pin)
22,C4,gut,red,689,650,614,1.45,15.89,published_gut,MEASURED_tape(flat-pin)
23,D4,gut,natural,676,638,602,1.35,15.75,published_gut,MEASURED_tape(flat-pin)
24,E4,gut,natural,650,614,579,1.3,15.75,published_gut,MEASURED_tape(flat-pin)
25,F4,gut,black,572,540,510,1.25,15.75,published_gut,MEASURED_tape(flat-pin)
26,G4,gut,natural,461,435,411,1.2,15.75,published_gut,MEASURED_tape(flat-pin)
27,A4,gut,natural,409,386,364,1.15,15.76,published_gut,MEASURED_tape(flat-pin)
28,B4,gut,natural,388,366,346,1.1,15.75,published_gut,MEASURED_tape(flat-pin)
29,C5,gut,red,368,347,328,1.05,15.36,published_gut,MEASURED_tape(flat-pin)
30,D5,gut,natural,341,322,304,1.0,14.97,published_gut,MEASURED_tape(flat-pin)
31,E5,gut,natural,323,305,288,0.95,14.97,published_gut,MEASURED_tape(flat-pin)
32,F5,gut,black,313,295,279,0.92,15.39,published_gut,MEASURED_tape(flat-pin)
33,G5,gut,natural,307,290,274,0.88,15.82,published_gut,MEASURED_tape(flat-pin)
34,A5,gut,natural,291,275,259,0.85,15.03,published_gut,MEASURED_tape(flat-pin)
35,B5,gut,natural,270,255,241,0.8,14.52,published_gut,MEASURED_tape(flat-pin)
36,C6,gut,red,231,218,206,0.76,14.02,published_gut,MEASURED_tape(flat-pin)
37,D6,gut,natural,204,193,182,0.73,14.02,published_gut,MEASURED_tape(flat-pin)
38,E6,gut,natural,184,174,164,0.7,13.15,published_gut,MEASURED_tape(flat-pin)
39,F6,nylon,black,184,174,164,0.68,13.15,nylon_taper_est,MEASURED_tape(flat-pin)
40,G6,nylon,natural,177,167,158,0.66,13.15,nylon_taper_est,MEASURED_tape(flat-pin)
41,A6,nylon,natural,166,157,148,0.64,13.15,nylon_taper_est,MEASURED_tape(flat-pin)
42,B6,nylon,natural,165,156,147,0.62,13.15,nylon_taper_est,MEASURED_tape(flat-pin)
43,C7,nylon,red,160,151,143,0.6,13.15,nylon_taper_est,MEASURED_tape(flat-pin)
44,D7,nylon,natural,137,129,122,0.58,12.76,nylon_taper_est,MEASURED_tape(flat-pin)
45,E7,nylon,natural,121,114,108,0.56,12.76,nylon_taper_est,MEASURED_tape(flat-pin)
46,F7,nylon,black,110,104,98,0.54,12.76,nylon_taper_est,MEASURED_tape(flat-pin)
47,G7,nylon,natural,105,99,94,0.52,,nylon_taper_est,MEASURED_tape(flat-pin)
