# F/N/S = physics-refined (vibrating-string + smooth tension); U/L = cubic-bezier fit to curve
# F/N/S = physics-refined (vibrating-string, flat pitch, smooth tension); T=F+35mm; U/L=bezier fit
sn,note,X,g_Z,s_Z,n_Z,f_Z,t_Z,L_Z,U_Z,U_cm,U_src
1,C1,0.0,329.8,1718.1,1800.7,1888.1,1923.1,1711.0,1933.1,164.5,bezier
2,D1,14.2,362.3,1723.2,1804.1,1889.8,1924.8,1718.2,1943.6,160,bezier
3,E1,27.7,393.5,1724.3,1803.4,1887.3,1922.3,1719.3,1962.2,157,bezier
4,F1,41.8,425.6,1756.4,1835.5,1919.4,1954.4,1751.4,1977.7,157,bezier
5,G1,56.2,458.8,1783.5,1862.2,1945.6,1980.6,1765.3,1990.6,157,bezier
6,A1,70.1,490.6,1802.8,1880.9,1963.5,1998.5,1771.8,1995.0,153,bezier
7,B1,84.5,524.0,1790.3,1865.5,1945.3,1980.3,1776.1,1995.0,147.0,bezier
8,C2,99.7,558.9,1778.2,1850.8,1927.6,1962.6,1773.2,1995.0,141.0,bezier
9,D2,113.9,591.4,1802.8,1874.9,1951.2,1986.2,1777.7,1995.0,144,bezier
10,E2,128.2,624.1,1807.2,1877.6,1952.1,1987.1,1775.4,1995.0,141,bezier
11,F2,142.4,656.8,1794.9,1862.5,1934.2,1969.2,1771.4,1991.1,137.3,bezier
12,G2,156.6,689.4,1799.2,1865.2,1935.0,1970.0,1765.8,1982.1,133.6,bezier
13,A2,170.8,722.1,1831.9,1897.9,1967.7,2002.7,1758.8,1995.0,129.9,bezier
14,B2,185.1,754.6,1822.5,1886.0,1953.3,1988.3,1750.6,1995.0,126.2,bezier
15,C3,199.3,787.3,1820.3,1881.8,1946.9,1981.9,1741.4,1991.9,122.6,bezier
16,D3,213.5,819.9,1791.7,1849.5,1910.7,1945.7,1731.3,1955.7,118.9,bezier
17,E3,227.4,851.9,1764.5,1818.8,1876.3,1911.3,1720.8,1921.3,115.2,bezier
18,F3,241.0,883.1,1749.3,1800.8,1855.4,1890.4,1710.2,1900.4,111.5,bezier
19,G3,254.3,913.8,1714.2,1761.7,1812.2,1847.2,1699.4,1877.9,107,bezier
20,A3,267.8,944.8,1664.1,1706.9,1752.2,1787.2,1659.1,1860.3,100.8,bezier
21,B3,281.6,976.3,1611.8,1649.6,1689.6,1724.6,1606.8,1842.1,94.5,bezier
22,C4,296.9,1011.6,1629.3,1666.0,1704.9,1739.9,1624.3,1822.0,88.2,bezier
23,D4,312.1,1046.5,1632.4,1667.2,1704.2,1739.2,1627.4,1802.3,82,bezier
24,E4,327.2,1081.1,1621.6,1653.8,1687.8,1722.8,1616.6,1783.3,75.9,bezier
25,F4,342.3,1115.6,1616.9,1646.8,1678.4,1713.4,1611.9,1765.2,69.8,bezier
26,G4,357.3,1150.2,1585.9,1611.8,1639.3,1674.3,1580.9,1748.4,63.8,bezier
27,A4,372.4,1184.8,1576.7,1600.0,1624.7,1659.7,1571.7,1732.9,57.7,bezier
28,B4,387.5,1219.5,1580.2,1601.6,1624.4,1659.4,1575.2,1719.1,51.6,bezier
29,C5,402.6,1254.0,1599.7,1620.2,1642.0,1677.0,1594.7,1707.3,45.5,bezier
30,D5,417.2,1287.7,1604.3,1623.2,1643.1,1678.1,1599.3,1698.0,42,bezier
31,E5,431.5,1320.6,1613.4,1630.8,1649.2,1684.2,1603.4,1694.2,39,bezier
32,F5,445.8,1353.5,1633.5,1650.1,1667.7,1702.7,1605.3,1712.7,37,bezier
33,G5,460.6,1387.4,1648.5,1664.0,1680.5,1715.5,1609.8,1725.5,34,bezier
34,A5,475.7,1422.0,1661.4,1675.6,1690.7,1725.7,1617.2,1735.7,32,bezier
35,B5,490.1,1455.1,1676.3,1689.5,1703.4,1738.4,1627.0,1748.4,31,bezier
36,C6,504.0,1487.0,1691.8,1704.0,1716.9,1751.9,1639.3,1761.9,29,bezier
37,D6,517.4,1517.8,1701.4,1712.2,1723.9,1758.9,1653.9,1768.9,25.5,bezier
38,E6,530.8,1548.6,1714.6,1724.5,1734.9,1769.9,1671.4,1779.9,24,bezier
39,F6,543.4,1577.5,1740.8,1750.4,1760.7,1795.7,1690.6,1805.7,22,bezier
40,G6,556.0,1606.3,1763.5,1772.8,1782.8,1817.8,1712.6,1827.8,21,bezier
41,A6,568.6,1635.2,1783.9,1792.7,1802.0,1837.0,1737.5,1847.0,21,bezier
42,B6,581.2,1664.1,1806.0,1814.5,1823.4,1858.4,1765.4,1868.4,21,bezier
43,C7,593.7,1693.0,1831.1,1839.2,1847.9,1882.9,1796.3,1892.9,21,bezier
44,D7,606.3,1721.9,1844.5,1851.7,1859.5,1894.5,1830.7,1904.5,16,bezier
45,E7,618.5,1749.9,1858.9,1865.3,1872.2,1907.2,1853.9,1919.7,15.5,bezier
46,F7,630.7,1777.9,1878.4,1884.4,1890.8,1925.8,1873.4,1962.1,14.5,bezier
47,G7,642.9,1805.9,1895.9,1901.3,1906.9,1941.9,1890.9,1995.0,13.5,bezier
