# Lyon & Healy Style 25 - SCREW-IN MOUNT POINT COORDINATES (mm)
# frame: x=across front bass(C1)->treble(G7); depth=toward player (7deg string rake); height=above floor
# 5 dots per string: grommet(soundboard) -> sharp disc -> natural disc -> flat/bridge pin -> tuner
sn,note,color,grommet_x,grommet_depth,grommet_height,sharpdisc_x,sharpdisc_depth,sharpdisc_height,natdisc_x,natdisc_depth,natdisc_height,flatpin_x,flatpin_depth,flatpin_height,tuner_x,tuner_depth,tuner_height
1,C1,red,0.0,0.0,330.0,0.0,170.5,1718.6,0.0,180.6,1801.0,0.0,191.3,1888.3,0.0,195.9,1925.6
2,D1,natural,14.2,0.0,362.5,14.2,167.1,1723.3,14.2,177.1,1804.7,14.2,187.6,1890.0,14.2,192.1,1927.4
3,E1,natural,27.7,0.0,393.7,27.7,163.4,1724.7,27.7,173.2,1804.1,27.7,183.4,1887.5,27.7,188.0,1924.8
4,F1,black,41.8,0.0,425.9,41.8,163.4,1756.9,41.8,173.2,1836.3,41.8,183.4,1919.7,41.8,188.0,1957.0
5,G1,natural,56.2,0.0,459.1,56.2,162.7,1784.2,56.2,172.3,1862.6,56.2,182.6,1945.9,56.2,187.1,1983.3
6,A1,natural,70.1,0.0,490.9,70.1,161.1,1803.1,70.1,170.7,1881.5,70.1,180.9,1963.8,70.1,185.4,2001.2
7,B1,natural,84.6,0.0,524.3,84.6,155.5,1790.8,84.6,164.8,1866.2,84.6,174.5,1945.6,84.6,179.1,1982.9
8,C2,red,99.8,0.0,559.2,99.8,149.8,1779.0,99.8,158.7,1851.5,99.8,168.1,1927.9,99.8,172.6,1965.2
9,D2,natural,114.0,0.0,591.8,114.0,148.8,1803.7,114.0,157.6,1875.2,114.0,167.0,1951.6,114.0,171.5,1989.0
10,E2,natural,128.3,0.0,624.5,128.3,145.3,1807.6,128.3,153.9,1878.1,128.3,163.1,1952.5,128.3,167.6,1989.8
11,F2,black,142.5,0.0,657.2,142.5,139.8,1795.6,142.5,148.1,1863.1,142.5,156.8,1934.6,142.5,161.4,1971.9
12,G2,natural,156.7,0.0,689.8,156.7,136.2,1799.5,156.7,144.4,1866.0,156.7,152.9,1935.5,156.7,157.5,1972.8
13,A2,natural,170.9,0.0,722.5,170.9,132.7,1803.4,170.9,140.5,1866.9,170.9,148.9,1935.4,170.9,153.5,1972.7
14,B2,natural,185.2,0.0,755.1,185.2,126.3,1783.4,185.2,133.8,1844.9,185.2,141.7,1909.5,185.2,146.3,1946.8
15,C3,red,199.4,0.0,787.8,199.4,123.3,1792.2,199.4,130.6,1851.8,199.4,138.4,1915.3,199.4,143.0,1952.6
16,D3,natural,213.6,0.0,820.4,213.6,120.9,1805.0,213.6,128.1,1863.6,213.6,135.8,1926.1,213.6,140.3,1963.5
