# Neck-mechanism geometry, STRAIGHT soundboard rib (grommets on a line ~24deg from vertical)
# x = horizontal across front; y = height; flat/nat/sharp = grommet + measured length
sn,note,grommet_x,grommet_y,flatpin_y,natdisc_y,sharpdisc_y,tuner_y
1,C1,0.0,0.0,1558.3,1471.0,1388.6,1583.1
2,D1,14.4,33.2,1560.7,1475.3,1394.0,1585.5
3,E1,28.8,66.1,1559.9,1476.6,1397.2,1584.7
4,F1,43.1,99.0,1592.7,1509.4,1430.0,1617.6
5,G1,57.3,131.6,1618.5,1535.1,1456.7,1643.3
6,A1,71.5,164.2,1637.1,1554.7,1476.3,1661.9
7,B1,85.6,196.6,1617.9,1538.5,1463.1,1642.7
8,C2,99.7,228.9,1597.6,1521.2,1448.7,1622.4
9,D2,113.7,261.1,1620.9,1544.5,1473.0,1645.7
10,E2,127.7,293.2,1621.2,1546.8,1476.3,1646.0
11,F2,141.6,325.2,1602.6,1531.1,1463.6,1627.4
12,G2,155.5,357.0,1602.7,1533.2,1466.7,1627.5
13,A2,169.9,390.0,1602.9,1534.4,1470.9,1627.7
14,B2,184.7,424.0,1578.3,1513.8,1452.3,1603.1
15,C3,199.4,457.8,1585.4,1521.9,1462.3,1610.2
16,D3,214.1,491.6,1597.3,1534.8,1476.2,1622.1
17,E3,228.7,525.0,1604.9,1544.4,1486.8,1629.7
18,F3,243.1,558.3,1592.5,1534.9,1479.3,1617.3
19,G3,257.6,591.4,1557.1,1502.5,1451.9,1581.9
20,A3,271.9,624.4,1456.1,1409.5,1365.8,1480.9
21,B3,286.2,657.1,1374.7,1334.0,1296.3,1399.5
22,C4,300.4,689.7,1373.5,1334.8,1299.1,1398.4
23,D4,314.5,722.1,1393.1,1355.4,1319.7,1417.9
24,E4,328.6,754.4,1399.6,1363.8,1329.1,1424.4
25,F4,342.6,786.6,1354.3,1322.6,1292.8,1379.1
26,G4,356.6,818.7,1276.3,1250.5,1226.6,1301.1
27,A4,370.5,850.7,1256.7,1233.8,1212.0,1281.5
28,B4,384.4,882.6,1267.7,1245.9,1226.0,1292.5
29,C5,398.2,914.3,1279.6,1258.8,1239.9,1304.4
30,D5,412.0,946.0,1284.5,1265.6,1247.8,1309.3
31,E5,425.8,977.7,1298.3,1280.4,1263.6,1323.1
32,F5,439.6,1009.3,1320.0,1302.1,1286.2,1344.8
33,G5,453.3,1040.9,1345.6,1328.7,1312.8,1370.4
34,A5,467.0,1072.3,1361.1,1345.2,1329.3,1385.9
35,B5,480.7,1103.6,1371.6,1356.7,1342.8,1396.4
36,C6,494.3,1135.0,1364.3,1351.4,1339.5,1389.1
37,D6,508.0,1166.4,1368.9,1358.0,1347.1,1393.7
38,E6,521.7,1197.8,1380.4,1370.5,1360.5,1405.2
39,F6,535.3,1229.1,1411.7,1401.8,1391.9,1436.5
40,G6,548.9,1260.4,1436.1,1426.1,1417.2,1460.9
41,A6,562.5,1291.6,1456.3,1447.4,1438.4,1481.1
42,B6,576.0,1322.6,1486.4,1477.5,1468.5,1511.2
43,C7,589.5,1353.6,1512.4,1503.5,1495.5,1537.2
44,D7,603.0,1384.5,1520.5,1512.6,1505.6,1545.3
45,E7,616.5,1415.4,1535.5,1528.5,1522.6,1560.3
46,F7,629.9,1446.2,1555.4,1549.4,1543.5,1580.2
47,G7,643.3,1477.0,1581.2,1575.3,1570.3,1606.0
