# Neck mechanism spec (mm along string). disc gaps + buildability flag.
# grommet->sharp->natural->flat/bridge->tuner; neck_depth=U-L; flag: standard / compact (top octave)
note,grommet_to_sharp,sharp_to_natural,natural_to_flat,flat_to_tuner,neck_depth,disc_mechanism
C1,1388.3,82.5,87.5,35.0,301.5,standard
D1,1360.9,80.9,85.7,35.0,268.5,standard
E1,1330.8,79.1,83.9,35.0,253.0,standard
F1,1330.8,79.1,83.9,35.0,227.5,standard
G1,1324.6,78.8,83.4,35.0,212.2,standard
A1,1312.2,78.1,82.6,32.5,203.6,standard
B1,1266.3,75.3,79.7,35.0,205.0,standard
C2,1219.4,72.5,76.8,35.0,206.2,standard
D2,1211.4,72.1,76.3,35.0,197.2,standard
E2,1183.1,70.4,74.5,35.0,192.8,standard
F2,1138.0,67.7,71.7,35.0,189.4,standard
G2,1109.7,66.0,69.9,35.0,190.4,standard
A2,1109.7,66.0,69.9,28.3,222.7,standard
B2,1058.8,63.0,66.7,35.0,225.0,standard
C3,1026.5,61.0,64.7,35.0,236.7,standard
D3,974.8,58.0,61.4,35.0,227.5,standard
E3,924.1,54.9,58.2,35.0,218.7,standard
F3,879.0,52.2,55.4,35.0,215.3,standard
G3,814.2,48.4,51.3,35.0,188.7,standard
A3,724.3,43.1,45.6,35.0,168.2,standard
B3,636.4,37.8,40.1,35.0,208.8,standard
C4,615.7,36.6,38.8,35.0,176.9,standard
D4,588.7,35.0,37.1,35.0,156.3,standard
E4,548.4,32.6,34.6,35.0,151.8,standard
F4,502.4,29.9,31.6,35.0,146.1,standard
G4,429.3,25.5,27.0,35.0,163.5,standard
A4,384.9,22.9,24.2,35.0,160.8,standard
B4,356.7,21.2,22.4,35.0,143.4,standard
C5,341.0,20.2,21.5,35.0,115.5,standard
D5,313.2,18.6,19.7,35.0,102.9,standard
E5,291.2,17.3,18.3,35.0,92.7,standard
F5,279.2,16.6,17.6,35.0,102.7,standard
G5,263.5,15.7,16.6,35.0,108.4,standard
A5,243.5,14.5,15.3,35.0,107.1,standard
B5,225.3,13.4,14.2,35.0,104.7,standard
C6,204.6,12.2,12.9,35.0,96.8,standard
D6,182.8,10.9,11.5,35.0,85.5,compact_mechanism
E6,165.2,9.9,10.4,35.0,77.4,compact_mechanism
F6,163.1,9.7,10.3,35.0,84.6,compact_mechanism
G6,157.1,9.3,9.9,35.0,86.3,compact_mechanism
A6,148.2,8.8,9.4,35.0,84.1,compact_mechanism
B6,142.8,8.5,9.0,35.0,85.1,compact_mechanism
C7,138.9,8.2,8.8,35.0,87.4,compact_mechanism
D7,122.3,7.2,7.7,35.0,75.1,compact_mechanism
E7,108.5,6.5,6.8,35.0,65.9,compact_mechanism
F7,99.8,5.9,6.3,35.0,76.2,compact_mechanism
G7,90.7,5.4,5.7,35.0,98.6,compact_mechanism
