"# Lyon & Healy Style 25 - definitive per-string mechanism POINTS (3D, mm)"
"# frame: x=across front (bass C1=0 -> treble G7=643); y=height above C1 grommet; z=depth toward player (+), from 7deg string rake"
"# soundboard rib is a STRAIGHT line 23.5deg from vertical; each string is straight, rising at 7deg rake"
# along each string from soundboard UP: grommet -> sharp disc -> natural disc -> flat/bridge pin -> tuning pin. tuner gap=38mm (measured)
sn,note,color,grommet_x,grommet_y,grommet_z,sharpdisc_x,sharpdisc_y,sharpdisc_z,natdisc_x,natdisc_y,natdisc_z,flatpin_x,flatpin_y,flatpin_z,tuner_x,tuner_y,tuner_z,L_flat_mm
1,C1,red,0.0,0.0,0.0,0.0,1388.6,170.5,0.0,1471.0,180.6,0.0,1558.3,191.3,0.0,1595.6,195.9,1570.0
2,D1,natural,14.2,32.5,0.0,14.2,1393.3,167.1,14.2,1474.7,177.1,14.2,1560.0,187.6,14.2,1597.4,192.1,1539.0
3,E1,natural,27.7,63.7,0.0,27.7,1394.7,163.4,27.7,1474.1,173.2,27.7,1557.5,183.4,27.7,1594.8,188.0,1505.0
4,F1,black,41.8,95.9,0.0,41.8,1426.9,163.4,41.8,1506.3,173.2,41.8,1589.7,183.4,41.8,1627.0,188.0,1505.0
5,G1,natural,56.2,129.1,0.0,56.2,1454.2,162.7,56.2,1532.6,172.3,56.2,1615.9,182.6,56.2,1653.3,187.1,1498.0
6,A1,natural,70.1,160.9,0.0,70.1,1473.1,161.1,70.1,1551.5,170.7,70.1,1633.8,180.9,70.1,1671.2,185.4,1484.0
7,B1,natural,84.6,194.3,0.0,84.6,1460.8,155.5,84.6,1536.2,164.8,84.6,1615.6,174.5,84.6,1652.9,179.1,1432.0
8,C2,red,99.8,229.2,0.0,99.8,1449.0,149.8,99.8,1521.5,158.7,99.8,1597.9,168.1,99.8,1635.2,172.6,1379.0
9,D2,natural,114.0,261.8,0.0,114.0,1473.7,148.8,114.0,1545.2,157.6,114.0,1621.6,167.0,114.0,1659.0,171.5,1370.0
10,E2,natural,128.3,294.5,0.0,128.3,1477.6,145.3,128.3,1548.1,153.9,128.3,1622.5,163.1,128.3,1659.8,167.6,1338.0
11,F2,black,142.5,327.2,0.0,142.5,1465.6,139.8,142.5,1533.1,148.1,142.5,1604.6,156.8,142.5,1641.9,161.4,1287.0
12,G2,natural,156.7,359.8,0.0,156.7,1469.5,136.2,156.7,1536.0,144.4,156.7,1605.5,152.9,156.7,1642.8,157.5,1255.0
13,A2,natural,170.9,392.5,0.0,170.9,1473.4,132.7,170.9,1536.9,140.5,170.9,1605.4,148.9,170.9,1642.7,153.5,1222.0
14,B2,natural,185.2,425.1,0.0,185.2,1453.4,126.3,185.2,1514.9,133.8,185.2,1579.5,141.7,185.2,1616.8,146.3,1163.0
15,C3,red,199.4,457.8,0.0,199.4,1462.2,123.3,199.4,1521.8,130.6,199.4,1585.3,138.4,199.4,1622.6,143.0,1136.0
16,D3,natural,213.6,490.4,0.0,213.6,1475.0,120.9,213.6,1533.6,128.1,213.6,1596.1,135.8,213.6,1633.5,140.3,1114.0
17,E3,natural,227.5,522.4,0.0,227.5,1484.2,118.1,227.5,1541.7,125.2,227.5,1602.3,132.6,227.5,1639.6,137.2,1088.0
18,F3,black,241.1,553.6,0.0,241.1,1474.7,113.1,241.1,1530.3,119.9,241.1,1587.9,127.0,241.1,1625.2,131.6,1042.0
19,G3,natural,254.5,584.3,0.0,254.5,1444.8,105.7,254.5,1495.5,111.9,254.5,1550.1,118.6,254.5,1587.4,123.2,973.0
20,A3,natural,268.0,615.4,0.0,268.0,1356.8,91.0,268.0,1400.5,96.4,268.0,1447.2,102.1,268.0,1484.5,106.7,838.0
21,B3,natural,281.8,646.9,0.0,281.8,1286.1,78.5,281.8,1323.9,83.1,281.8,1364.5,88.1,281.8,1401.9,92.7,723.0
22,C4,red,297.1,682.2,0.0,297.1,1291.6,74.8,297.1,1327.3,79.2,297.1,1366.0,84.0,297.1,1403.3,88.6,689.0
23,D4,natural,312.3,717.1,0.0,312.3,1314.6,73.4,312.3,1350.3,77.8,312.3,1388.0,82.4,312.3,1425.4,87.0,676.0
24,E4,natural,327.4,751.7,0.0,327.4,1326.4,70.6,327.4,1361.1,74.8,327.4,1396.9,79.2,327.4,1434.2,83.8,650.0
25,F4,black,342.5,786.3,0.0,342.5,1292.5,62.2,342.5,1322.3,65.8,342.5,1354.0,69.7,342.5,1391.4,74.3,572.0
26,G4,natural,357.5,820.9,0.0,357.5,1228.9,50.1,357.5,1252.7,53.0,357.5,1278.5,56.2,357.5,1315.8,60.8,461.0
27,A4,natural,372.6,855.5,0.0,372.6,1216.8,44.4,372.6,1238.7,47.0,372.6,1261.5,49.8,372.6,1298.8,54.4,409.0
28,B4,natural,387.7,890.2,0.0,387.7,1233.6,42.2,387.7,1253.4,44.6,387.7,1275.3,47.3,387.7,1312.6,51.9,388.0
29,C5,red,402.8,924.8,0.0,402.8,1250.3,40.0,402.8,1269.2,42.3,402.8,1290.0,44.8,402.8,1327.4,49.4,368.0
30,D5,natural,417.5,958.5,0.0,417.5,1260.3,37.0,417.5,1278.1,39.2,417.5,1297.0,41.6,417.5,1334.3,46.1,341.0
31,E5,natural,431.8,991.4,0.0,431.8,1277.3,35.1,431.8,1294.2,37.2,431.8,1312.0,39.4,431.8,1349.3,43.9,323.0
32,F5,black,446.1,1024.3,0.0,446.1,1301.3,34.0,446.1,1317.1,36.0,446.1,1335.0,38.1,446.1,1372.3,42.7,313.0
33,G5,natural,460.9,1058.2,0.0,460.9,1330.1,33.4,460.9,1346.0,35.3,460.9,1362.9,37.4,460.9,1400.2,42.0,307.0
34,A5,natural,476.0,1092.9,0.0,476.0,1350.0,31.6,476.0,1365.9,33.5,476.0,1381.8,35.5,476.0,1419.1,40.0,291.0
35,B5,natural,490.4,1126.0,0.0,490.4,1365.2,29.4,490.4,1379.1,31.1,490.4,1393.9,32.9,490.4,1431.3,37.5,270.0
36,C6,red,504.3,1157.9,0.0,504.3,1362.3,25.1,504.3,1374.2,26.6,504.3,1387.1,28.2,504.3,1424.5,32.7,231.0
37,D6,natural,517.7,1188.7,0.0,517.7,1369.3,22.2,517.7,1380.2,23.5,517.7,1391.2,24.9,517.7,1428.5,29.4,204.0
38,E6,natural,531.1,1219.5,0.0,531.1,1382.3,20.0,531.1,1392.2,21.2,531.1,1402.1,22.4,531.1,1439.4,27.0,184.0
39,F6,black,543.7,1248.4,0.0,543.7,1411.2,20.0,543.7,1421.1,21.2,543.7,1431.0,22.4,543.7,1468.3,27.0,184.0
40,G6,natural,556.3,1277.3,0.0,556.3,1434.1,19.3,556.3,1443.0,20.4,556.3,1453.0,21.6,556.3,1490.3,26.2,177.0
41,A6,natural,568.9,1306.2,0.0,568.9,1453.1,18.0,568.9,1462.0,19.1,568.9,1470.9,20.2,568.9,1508.3,24.8,166.0
42,B6,natural,581.5,1335.1,0.0,581.5,1481.0,17.9,581.5,1489.9,19.0,581.5,1498.8,20.1,581.5,1536.2,24.7,165.0
43,C7,red,594.1,1364.0,0.0,594.1,1505.9,17.4,594.1,1513.9,18.4,594.1,1522.8,19.5,594.1,1560.1,24.1,160.0
44,D7,natural,606.7,1392.9,0.0,606.7,1514.0,14.9,606.7,1520.9,15.7,606.7,1528.9,16.7,606.7,1566.2,21.3,137.0
45,E7,natural,618.9,1420.9,0.0,618.9,1528.1,13.2,618.9,1534.1,13.9,618.9,1541.0,14.7,618.9,1578.3,19.3,121.0
46,F7,black,631.1,1449.0,0.0,631.1,1546.2,11.9,631.1,1552.2,12.7,631.1,1558.1,13.4,631.1,1595.5,18.0,110.0
47,G7,natural,643.3,1477.0,0.0,643.3,1570.3,11.5,643.3,1575.3,12.1,643.3,1581.2,12.8,643.3,1618.5,17.4,105.0
